Temperature2,Execution1
Time(s),Temperature2(C)
341.0000,28.48
341.5000,28.51
342.0000,28.56
342.5000,28.61
343.0000,28.67
343.5000,28.72
344.0000,28.78
344.5000,28.85
345.0000,28.90
345.5000,28.96
346.0000,29.02
346.5000,29.14
347.0000,29.20
347.5000,29.26
348.0000,29.33
348.5000,29.37
349.0000,29.43
349.5000,29.48
350.0000,29.53
350.5000,29.57
351.0000,29.61
351.5000,29.64
352.0000,29.66
352.5000,29.67
353.0000,29.68
353.5000,29.68
354.0000,29.68
354.5000,29.66
355.0000,29.65
355.5000,29.63
356.0000,29.60
356.5000,29.56
357.0000,29.52
357.5000,29.46
358.0000,29.38
358.5000,29.36
359.0000,29.31
359.5000,29.26
360.0000,29.20
360.5000,29.14
361.0000,29.08
361.5000,29.03
362.0000,28.96
362.5000,28.91
363.0000,28.85
363.5000,28.80
364.0000,28.76
364.5000,28.71
365.0000,28.67
365.5000,28.62
366.0000,28.60
366.5000,28.57
367.0000,28.56
367.5000,28.55
368.0000,28.54
368.5000,28.54
369.0000,28.55
369.5000,28.56
370.0000,28.53
370.5000,28.54
371.0000,28.56
371.5000,28.59
372.0000,28.64
372.5000,28.68
373.0000,28.73
373.5000,28.79
374.0000,28.83
374.5000,28.89
375.0000,28.96
375.5000,29.02
376.0000,29.10
376.5000,29.20
377.0000,29.29
377.5000,29.37
378.0000,29.44
378.5000,29.50
379.0000,29.56
379.5000,29.61
380.0000,29.65
380.5000,29.64
381.0000,29.73
381.5000,29.75
382.0000,29.77
382.5000,29.80
383.0000,29.82
383.5000,29.83
384.0000,29.81
384.5000,29.82
385.0000,29.83
385.5000,29.81
386.0000,29.77
386.5000,29.73
387.0000,29.71
387.5000,29.68
388.0000,29.62
388.5000,29.59
389.0000,29.55
389.5000,29.50
390.0000,29.45
390.5000,29.38
391.0000,29.33
391.5000,29.25
392.0000,29.19
392.5000,29.14
393.0000,29.07
393.5000,29.04
394.0000,28.98
394.5000,28.94
395.0000,28.91
395.5000,28.87
396.0000,28.84
396.5000,28.82
397.0000,28.81
397.5000,28.80
398.0000,28.79
398.5000,28.78
399.0000,28.79
399.5000,28.80
400.0000,28.79
400.5000,28.80
401.0000,28.84
401.5000,28.86
402.0000,28.89
402.5000,28.93
403.0000,28.96
403.5000,29.00
404.0000,29.04
404.5000,29.12
405.0000,29.19
405.5000,29.26
406.0000,29.34
406.5000,29.41
407.0000,29.46
407.5000,29.51
408.0000,29.57
408.5000,29.64
409.0000,29.69
409.5000,29.75
410.0000,29.80
410.5000,29.84
411.0000,29.86
411.5000,29.87
412.0000,29.89
412.5000,29.90
413.0000,29.91
413.5000,29.92
414.0000,29.92
414.5000,29.91
415.0000,29.90
415.5000,29.88
416.0000,29.82
416.5000,29.77
417.0000,29.74
417.5000,29.70
418.0000,29.65
418.5000,29.59
419.0000,29.54
419.5000,29.47
420.0000,29.42
420.5000,29.36
421.0000,29.30
421.5000,29.24
422.0000,29.20
422.5000,29.15
423.0000,29.10
423.5000,29.05
424.0000,29.00
424.5000,28.95
425.0000,28.90
425.5000,28.86
426.0000,28.83
426.5000,28.80
427.0000,28.79
427.5000,28.78
428.0000,28.76
428.5000,28.75
429.0000,28.76
429.5000,28.76
430.0000,28.78
430.5000,28.80
431.0000,28.83
431.5000,28.86
432.0000,28.89
432.5000,28.91
433.0000,28.95
433.5000,29.01
434.0000,29.07
434.5000,29.12
435.0000,29.18
435.5000,29.25
436.0000,29.31
436.5000,29.38
437.0000,29.39
437.5000,29.45
438.0000,29.51
438.5000,29.56
439.0000,29.61
439.5000,29.67
440.0000,29.71
440.5000,29.74
441.0000,29.77
441.5000,29.79
442.0000,29.80
442.5000,29.82
443.0000,29.82
443.5000,29.84
444.0000,29.91
444.5000,29.92
445.0000,29.89
445.5000,29.88
446.0000,29.87
446.5000,29.86
447.0000,29.84
447.5000,29.80
448.0000,29.77
448.5000,29.73
449.0000,29.67
449.5000,29.61
450.0000,29.57
450.5000,29.51
451.0000,29.47
451.5000,29.42
452.0000,29.36
452.5000,29.29
453.0000,29.21
453.5000,29.17
454.0000,29.11
454.5000,29.07
455.0000,29.04
455.5000,29.00
456.0000,28.97
456.5000,28.95
457.0000,28.95
457.5000,28.93
458.0000,28.91
458.5000,28.89
459.0000,28.88
459.5000,28.89
460.0000,28.90
460.5000,28.91
461.0000,28.93
461.5000,28.96
462.0000,28.99
462.5000,29.04
463.0000,29.07
463.5000,29.11
464.0000,29.16
464.5000,29.23
465.0000,29.29
465.5000,29.35
466.0000,29.40
466.5000,29.46
467.0000,29.53
467.5000,29.59
468.0000,29.65
468.5000,29.71
469.0000,29.76
469.5000,29.81
470.0000,29.83
470.5000,29.86
471.0000,29.90
471.5000,29.93
472.0000,29.96
472.5000,29.98
473.0000,30.01
473.5000,30.01
474.0000,30.01
474.5000,30.00
475.0000,30.00
475.5000,29.98
476.0000,29.96
476.5000,29.95
477.0000,29.92
477.5000,29.88
478.0000,29.82
478.5000,29.78
479.0000,29.74
479.5000,29.71
480.0000,29.65
480.5000,29.59
481.0000,29.54
481.5000,29.47
482.0000,29.42
482.5000,29.36
483.0000,29.32
483.5000,29.26
484.0000,29.21
484.5000,29.16
485.0000,29.12
485.5000,29.07
486.0000,29.04
486.5000,29.00
487.0000,28.94
487.5000,28.90
488.0000,28.88
488.5000,28.87
489.0000,28.87
489.5000,28.88
490.0000,28.94
490.5000,28.95
491.0000,28.97
491.5000,28.95
492.0000,28.99
492.5000,29.04
493.0000,29.09
493.5000,29.11
494.0000,29.21
494.5000,29.26
495.0000,29.28
495.5000,29.39
496.0000,29.47
496.5000,29.54
497.0000,29.60
497.5000,29.65
498.0000,29.74
498.5000,29.82
499.0000,29.88
499.5000,29.94
500.0000,29.99
500.5000,30.04
501.0000,30.07
501.5000,30.10
502.0000,30.12
502.5000,30.15
503.0000,30.17
503.5000,30.18
504.0000,30.19
504.5000,30.18
505.0000,30.14
505.5000,30.12
506.0000,30.10
506.5000,30.06
507.0000,30.03
507.5000,29.99
508.0000,29.95
508.5000,29.89
509.0000,29.82
509.5000,29.75
510.0000,29.68
510.5000,29.60
511.0000,29.54
511.5000,29.48
512.0000,29.42
512.5000,29.36
513.0000,29.30
513.5000,29.25
514.0000,29.19
514.5000,29.14
515.0000,29.10
515.5000,29.06
516.0000,29.03
516.5000,29.01
517.0000,28.99
517.5000,28.98
518.0000,28.97
518.5000,28.96
519.0000,28.97
519.5000,28.95
520.0000,28.97
520.5000,28.99
521.0000,29.03
521.5000,29.07
522.0000,29.12
522.5000,29.17
523.0000,29.22
523.5000,29.29
524.0000,29.35
524.5000,29.41
525.0000,29.47
525.5000,29.55
526.0000,29.63
526.5000,29.69
527.0000,29.77
527.5000,29.82
528.0000,29.89
528.5000,29.96
529.0000,29.99
529.5000,30.04
530.0000,30.07
530.5000,30.11
531.0000,30.15
531.5000,30.19
532.0000,30.21
532.5000,30.22
533.0000,30.24
533.5000,30.24
534.0000,30.22
534.5000,30.21
535.0000,30.20
535.5000,30.19
536.0000,30.17
536.5000,30.15
537.0000,30.12
537.5000,30.08
538.0000,30.03
538.5000,29.99
539.0000,29.93
539.5000,29.88
540.0000,29.82
540.5000,29.76
541.0000,29.72
541.5000,29.67
542.0000,29.61
542.5000,29.58
543.0000,29.52
543.5000,29.46
544.0000,29.42
544.5000,29.38
545.0000,29.34
545.5000,29.29
546.0000,29.27
546.5000,29.24
547.0000,29.25
547.5000,29.25
548.0000,29.24
548.5000,29.23
549.0000,29.23
549.5000,29.23
550.0000,29.21
550.5000,29.24
551.0000,29.27
551.5000,29.29
552.0000,29.31
552.5000,29.35
553.0000,29.39
553.5000,29.43
554.0000,29.48
554.5000,29.54
555.0000,29.58
555.5000,29.63
556.0000,29.69
556.5000,29.76
557.0000,29.82
557.5000,29.89
558.0000,29.94
558.5000,29.99
559.0000,30.04
