Temperature8,Execution1
Time(s),Temperature8(C)
55.5000,25.14
56.0000,25.14
56.5000,25.13
57.0000,25.13
57.5000,25.13
58.0000,25.14
58.5000,25.14
59.0000,25.14
59.5000,25.14
60.0000,25.14
60.5000,25.14
61.0000,25.15
61.5000,25.14
62.0000,25.14
62.5000,25.15
63.0000,25.14
63.5000,25.15
64.0000,25.15
64.5000,25.15
65.0000,25.15
65.5000,25.15
66.0000,25.16
66.5000,25.15
67.0000,25.16
67.5000,25.16
68.0000,25.15
68.5000,25.16
69.0000,25.16
69.5000,25.16
70.0000,25.17
70.5000,25.16
71.0000,25.17
71.5000,25.17
72.0000,25.17
72.5000,25.16
73.0000,25.17
73.5000,25.17
74.0000,25.17
74.5000,25.17
75.0000,25.17
75.5000,25.18
76.0000,25.17
76.5000,25.17
77.0000,25.18
77.5000,25.18
78.0000,25.18
78.5000,25.18
79.0000,25.18
79.5000,25.18
80.0000,25.18
80.5000,25.18
81.0000,25.18
81.5000,25.19
82.0000,25.19
82.5000,25.19
83.0000,25.18
83.5000,25.19
84.0000,25.18
84.5000,25.19
85.0000,25.19
85.5000,25.19
86.0000,25.19
86.5000,25.19
87.0000,25.19
87.5000,25.19
88.0000,25.19
88.5000,25.19
89.0000,25.19
89.5000,25.19
90.0000,25.20
90.5000,25.19
91.0000,25.19
91.5000,25.20
92.0000,25.19
92.5000,25.19
93.0000,25.20
93.5000,25.20
94.0000,25.19
94.5000,25.20
95.0000,25.20
95.5000,25.20
96.0000,25.20
96.5000,25.21
97.0000,25.21
97.5000,25.20
98.0000,25.20
98.5000,25.21
99.0000,25.20
99.5000,25.20
100.0000,25.21
100.5000,25.21
101.0000,25.21
101.5000,25.21
102.0000,25.21
102.5000,25.21
103.0000,25.22
103.5000,25.22
104.0000,25.21
104.5000,25.22
105.0000,25.22
105.5000,25.22
106.0000,25.22
106.5000,25.22
107.0000,25.23
107.5000,25.23
108.0000,25.23
108.5000,25.23
109.0000,25.23
109.5000,25.24
110.0000,25.24
110.5000,25.23
111.0000,25.24
111.5000,25.24
112.0000,25.23
112.5000,25.23
113.0000,25.24
113.5000,25.24
114.0000,25.24
114.5000,25.24
115.0000,25.24
115.5000,25.24
116.0000,25.25
116.5000,25.24
117.0000,25.24
117.5000,25.25
118.0000,25.25
118.5000,25.25
119.0000,25.25
119.5000,25.25
120.0000,25.25
120.5000,25.25
121.0000,25.25
121.5000,25.26
122.0000,25.26
122.5000,25.25
123.0000,25.26
123.5000,25.26
124.0000,25.26
124.5000,25.26
125.0000,25.27
125.5000,25.27
126.0000,25.27
126.5000,25.27
127.0000,25.27
127.5000,25.28
128.0000,25.27
128.5000,25.27
129.0000,25.28
129.5000,25.28
130.0000,25.28
130.5000,25.28
131.0000,25.29
131.5000,25.28
132.0000,25.28
132.5000,25.29
133.0000,25.29
133.5000,25.29
134.0000,25.30
134.5000,25.30
135.0000,25.30
135.5000,25.30
136.0000,25.30
136.5000,25.30
137.0000,25.30
137.5000,25.30
138.0000,25.31
138.5000,25.30
139.0000,25.31
139.5000,25.31
140.0000,25.32
140.5000,25.32
141.0000,25.31
141.5000,25.32
142.0000,25.32
142.5000,25.32
143.0000,25.33
143.5000,25.32
144.0000,25.32
144.5000,25.32
145.0000,25.33
145.5000,25.33
146.0000,25.33
146.5000,25.33
147.0000,25.33
147.5000,25.32
148.0000,25.34
148.5000,25.33
149.0000,25.33
149.5000,25.33
150.0000,25.34
150.5000,25.34
151.0000,25.34
151.5000,25.34
152.0000,25.34
152.5000,25.34
153.0000,25.34
153.5000,25.35
154.0000,25.35
154.5000,25.35
155.0000,25.34
155.5000,25.35
156.0000,25.35
156.5000,25.34
157.0000,25.35
157.5000,25.35
158.0000,25.35
158.5000,25.35
159.0000,25.36
159.5000,25.36
160.0000,25.36
160.5000,25.36
161.0000,25.36
161.5000,25.36
162.0000,25.36
162.5000,25.37
163.0000,25.37
163.5000,25.36
164.0000,25.37
